epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,8393.16,0.5793,0.60726,0.88072,0.75947,0.75687,0.78837,0.64655,0.66523,0.91455,0.88601,7.01477e-05,7.01477e-05,7.01477e-05
59,9037.9,0.57172,0.59789,0.87962,0.82394,0.72895,0.80183,0.66057,0.66462,0.88096,0.88588,6.85538e-05,6.85538e-05,6.85538e-05
60,9685.11,0.57232,0.59039,0.87475,0.77858,0.75136,0.8122,0.66704,0.6639,0.88952,0.88879,6.69599e-05,6.69599e-05,6.69599e-05
61,10332.6,0.58152,0.60335,0.87326,0.78561,0.77361,0.80956,0.66908,0.6566,0.88838,0.88164,6.5366e-05,6.5366e-05,6.5366e-05
62,10977.5,0.57612,0.60625,0.88449,0.80473,0.74019,0.79825,0.65464,0.66322,0.91025,0.88468,6.37721e-05,6.37721e-05,6.37721e-05
63,11621.8,0.56008,0.58004,0.87613,0.76167,0.78165,0.79325,0.65088,0.65945,0.87099,0.88253,6.21782e-05,6.21782e-05,6.21782e-05
64,12265.1,0.57292,0.58528,0.88086,0.76835,0.76277,0.80014,0.65325,0.66117,0.8326,0.88547,6.05843e-05,6.05843e-05,6.05843e-05
65,12909.4,0.57026,0.56512,0.87561,0.79634,0.74525,0.80502,0.66156,0.66001,0.82639,0.88955,5.89904e-05,5.89904e-05,5.89904e-05
66,13554,0.55922,0.57423,0.87349,0.7693,0.74794,0.7929,0.65199,0.66444,0.86086,0.88436,5.73965e-05,5.73965e-05,5.73965e-05
67,14199.4,0.55491,0.55531,0.87045,0.80059,0.75304,0.8079,0.66381,0.66733,0.82334,0.88949,5.58026e-05,5.58026e-05,5.58026e-05
68,14845.7,0.57244,0.57046,0.87761,0.79714,0.75012,0.79953,0.65746,0.65787,0.81053,0.88807,5.42087e-05,5.42087e-05,5.42087e-05
69,15491.2,0.60502,0.63296,0.88695,0.7924,0.77452,0.80589,0.65769,0.66471,0.82036,0.88982,5.26148e-05,5.26148e-05,5.26148e-05
70,16138,0.59829,0.63402,0.88603,0.79967,0.77811,0.81278,0.66787,0.64972,0.77085,0.88379,5.10209e-05,5.10209e-05,5.10209e-05
71,16783.8,0.60094,0.62749,0.8928,0.81322,0.75992,0.81853,0.67245,0.65488,0.79133,0.88488,4.9427e-05,4.9427e-05,4.9427e-05
72,17425.7,0.59168,0.60323,0.88553,0.79239,0.78552,0.82131,0.6795,0.65494,0.77899,0.88339,4.78331e-05,4.78331e-05,4.78331e-05
73,18071.5,0.59244,0.60653,0.88356,0.82229,0.77028,0.82113,0.67877,0.65325,0.75338,0.88864,4.62392e-05,4.62392e-05,4.62392e-05
74,18714.6,0.60524,0.61203,0.89254,0.83415,0.77569,0.82197,0.67804,0.6545,0.76212,0.8846,4.46453e-05,4.46453e-05,4.46453e-05
75,19359.3,0.58677,0.60734,0.87984,0.82604,0.75809,0.8129,0.67333,0.64547,0.76078,0.88062,4.30514e-05,4.30514e-05,4.30514e-05
76,928.235,0.55255,0.54745,0.88288,0.82207,0.76568,0.81807,0.67616,0.6524,0.75533,0.88253,4.14575e-05,4.14575e-05,4.14575e-05
77,1782.74,0.55039,0.52873,0.86723,0.79054,0.78348,0.79926,0.65976,0.64734,0.75809,0.88082,3.98636e-05,3.98636e-05,3.98636e-05
78,2649.62,0.54469,0.52127,0.87202,0.82405,0.76844,0.81268,0.67353,0.65176,0.76009,0.88254,3.82697e-05,3.82697e-05,3.82697e-05
79,918.356,0.50767,0.48869,0.87033,0.79917,0.77524,0.80389,0.66385,0.65032,0.77224,0.88288,3.66758e-05,3.66758e-05,3.66758e-05
80,1805.06,0.50447,0.47535,0.85636,0.80092,0.77692,0.80579,0.66464,0.6519,0.76259,0.88417,3.50819e-05,3.50819e-05,3.50819e-05
81,2663.66,0.50244,0.47451,0.86098,0.80774,0.77837,0.80615,0.66692,0.65605,0.76133,0.88317,3.3488e-05,3.3488e-05,3.3488e-05
82,3524.74,0.54782,0.51803,0.86627,0.82156,0.76086,0.79093,0.65379,0.65189,0.77671,0.8851,3.18941e-05,3.18941e-05,3.18941e-05
83,4384.2,0.54043,0.5179,0.86926,0.80395,0.77759,0.8026,0.66204,0.65736,0.75494,0.8858,3.03002e-05,3.03002e-05,3.03002e-05
84,752.357,0.48041,0.45884,0.8624,0.81782,0.76484,0.80206,0.66091,0.6525,0.76185,0.88276,2.87063e-05,2.87063e-05,2.87063e-05
85,1448.89,0.47302,0.44287,0.84863,0.78593,0.77041,0.80036,0.65844,0.65436,0.76591,0.88503,2.71124e-05,2.71124e-05,2.71124e-05
86,2159.72,0.47218,0.44575,0.85344,0.81267,0.77451,0.80312,0.65977,0.66302,0.77113,0.88628,2.55185e-05,2.55185e-05,2.55185e-05
87,2827.42,0.50589,0.46836,0.85599,0.8219,0.76489,0.80092,0.65773,0.66104,0.78057,0.88812,2.39246e-05,2.39246e-05,2.39246e-05
88,3455.74,0.50549,0.47714,0.85993,0.82581,0.7638,0.80314,0.66102,0.66077,0.76577,0.88682,2.23307e-05,2.23307e-05,2.23307e-05
89,4157.64,0.5429,0.49473,0.86436,0.81897,0.78011,0.80663,0.66609,0.65707,0.76071,0.8836,2.07368e-05,2.07368e-05,2.07368e-05
90,4778.96,0.5321,0.49924,0.8664,0.82945,0.7683,0.80877,0.66372,0.6609,0.76327,0.88585,1.91429e-05,1.91429e-05,1.91429e-05
91,5400.28,0.55726,0.50979,0.86127,0.82877,0.75976,0.80566,0.66292,0.65579,0.7561,0.88535,1.7549e-05,1.7549e-05,1.7549e-05
92,6039.72,0.55336,0.4981,0.86075,0.82365,0.76458,0.80221,0.65798,0.65369,0.73521,0.88482,1.59551e-05,1.59551e-05,1.59551e-05
93,6797.83,0.55428,0.50501,0.85763,0.81711,0.77258,0.80908,0.66634,0.65432,0.72219,0.88708,1.43612e-05,1.43612e-05,1.43612e-05
94,7509.18,0.54606,0.50313,0.85885,0.81739,0.77342,0.80468,0.66253,0.64995,0.72747,0.88293,1.27673e-05,1.27673e-05,1.27673e-05
95,8121.07,0.55447,0.49606,0.86674,0.81141,0.7774,0.80953,0.66682,0.65362,0.7155,0.88448,1.11734e-05,1.11734e-05,1.11734e-05
96,8733.5,0.54772,0.49192,0.8536,0.83309,0.761,0.81039,0.66691,0.6521,0.7152,0.88429,9.5795e-06,9.5795e-06,9.5795e-06
97,9361.05,0.54051,0.48308,0.85933,0.81476,0.78397,0.81387,0.67129,0.65048,0.71657,0.88407,7.9856e-06,7.9856e-06,7.9856e-06
98,9990.66,0.54672,0.49001,0.86431,0.8401,0.76316,0.81136,0.66841,0.64889,0.71664,0.88317,6.3917e-06,6.3917e-06,6.3917e-06
99,10625.4,0.54534,0.4839,0.86103,0.82926,0.7715,0.80848,0.66609,0.65043,0.71481,0.88408,4.7978e-06,4.7978e-06,4.7978e-06
100,11265.6,0.54063,0.48535,0.86234,0.83356,0.77511,0.80888,0.66469,0.65136,0.7123,0.88397,3.2039e-06,3.2039e-06,3.2039e-06
