               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.021361,           0.0061201,             0.01061,             0.76124,             0.74712,             0.77489,              0.5824,            0.018378,           0.0045119,           0.0096548,            0.003862,            0.003862,            0.003862
                  64,            0.021431,           0.0062515,            0.010504,             0.74416,             0.74663,             0.76568,             0.57801,            0.018028,           0.0045299,           0.0097437,            0.003763,            0.003763,            0.003763
                  65,            0.020911,           0.0060256,            0.010581,             0.74282,             0.75157,             0.77141,             0.59409,            0.017694,           0.0044585,           0.0093629,            0.003664,            0.003664,            0.003664
                  66,            0.020723,           0.0060848,           0.0097612,             0.80032,             0.73545,             0.78359,             0.59574,            0.017455,           0.0044192,           0.0097683,            0.003565,            0.003565,            0.003565
                  67,            0.020595,           0.0060644,           0.0099613,             0.80219,             0.74934,             0.79998,             0.60512,            0.018192,           0.0044093,           0.0089716,            0.003466,            0.003466,            0.003466
                  68,            0.020672,           0.0062184,           0.0090905,             0.79852,             0.74354,              0.8047,             0.61255,            0.017748,           0.0043871,           0.0089207,            0.003367,            0.003367,            0.003367
                  69,            0.020749,           0.0061632,           0.0091316,             0.79327,             0.75347,              0.7974,             0.60941,            0.017964,           0.0043881,           0.0086248,            0.003268,            0.003268,            0.003268
                  70,            0.020094,           0.0060677,           0.0088189,             0.75206,             0.78003,             0.80937,             0.61237,            0.017347,            0.004386,           0.0085803,            0.003169,            0.003169,            0.003169
                  71,            0.019999,           0.0059535,           0.0091378,             0.82014,             0.74918,             0.79889,             0.61331,            0.017473,            0.004422,           0.0082963,             0.00307,             0.00307,             0.00307
                  72,            0.019697,           0.0062111,             0.00842,             0.81209,             0.73923,             0.79324,             0.60384,            0.017695,            0.004374,           0.0084354,            0.002971,            0.002971,            0.002971
                  73,            0.019597,           0.0057599,           0.0085923,             0.83555,             0.74899,             0.81699,             0.62576,            0.017223,            0.004388,           0.0082289,            0.002872,            0.002872,            0.002872
                  74,            0.019855,           0.0058198,           0.0077219,             0.77412,             0.79499,             0.82134,             0.63953,            0.016944,           0.0043651,           0.0075442,            0.002773,            0.002773,            0.002773
                  75,            0.019526,           0.0059063,           0.0079856,             0.78281,              0.7948,             0.79857,             0.62029,            0.016585,           0.0043309,           0.0079249,            0.002674,            0.002674,            0.002674
                  76,            0.019501,           0.0058787,           0.0079118,             0.79578,             0.78648,             0.81689,             0.63432,            0.016546,           0.0043174,           0.0075093,            0.002575,            0.002575,            0.002575
                  77,            0.019104,           0.0058469,           0.0073926,             0.79505,             0.78439,             0.82151,             0.63949,            0.016664,           0.0043244,            0.007512,            0.002476,            0.002476,            0.002476
                  78,            0.018426,           0.0059421,           0.0078401,             0.85646,             0.75273,             0.81113,             0.63287,            0.016815,           0.0043807,           0.0073253,            0.002377,            0.002377,            0.002377
                  79,            0.018848,           0.0059351,           0.0073714,             0.77546,             0.80705,             0.82373,              0.6507,            0.016507,           0.0043685,           0.0076446,            0.002278,            0.002278,            0.002278
                  80,            0.018249,            0.005637,           0.0067145,             0.80594,              0.7889,             0.80805,             0.63577,            0.016498,           0.0043764,            0.007222,            0.002179,            0.002179,            0.002179
                  81,            0.018453,           0.0058283,           0.0067963,              0.7826,             0.82222,              0.8161,              0.6438,            0.016566,           0.0043117,           0.0071514,             0.00208,             0.00208,             0.00208
                  82,            0.018567,           0.0058571,           0.0067855,             0.78839,             0.81705,             0.82572,             0.65029,            0.016158,           0.0043291,           0.0070415,            0.001981,            0.001981,            0.001981
                  83,            0.018233,           0.0054531,           0.0067325,             0.79502,             0.81244,             0.82398,             0.65205,            0.016273,           0.0043363,           0.0068342,            0.001882,            0.001882,            0.001882
                  84,            0.017857,           0.0054447,           0.0065245,             0.79527,              0.7937,             0.82213,             0.64235,            0.016187,           0.0043306,           0.0067851,            0.001783,            0.001783,            0.001783
                  85,            0.017655,           0.0056724,           0.0063648,             0.77407,             0.80121,             0.80945,             0.63932,            0.015958,           0.0043113,           0.0066974,            0.001684,            0.001684,            0.001684
                  86,            0.017031,           0.0056124,           0.0059661,             0.81529,             0.81588,             0.82686,             0.65896,            0.015647,           0.0042965,            0.006537,            0.001585,            0.001585,            0.001585
                  87,             0.01705,           0.0053527,           0.0057626,             0.81031,             0.80651,             0.83059,             0.67012,            0.015755,           0.0043016,            0.006588,            0.001486,            0.001486,            0.001486
                  88,             0.01684,           0.0052286,           0.0058066,             0.81581,             0.79157,             0.81769,             0.66027,            0.015522,           0.0042739,           0.0061734,            0.001387,            0.001387,            0.001387
                  89,            0.016659,           0.0053954,           0.0052266,             0.79208,             0.79914,             0.83525,             0.67154,            0.015531,           0.0042902,           0.0059763,            0.001288,            0.001288,            0.001288
                  90,             0.01624,           0.0052355,           0.0050587,              0.7915,             0.82264,             0.83585,             0.67673,            0.015285,           0.0043063,             0.00602,            0.001189,            0.001189,            0.001189
                  91,            0.016419,           0.0054057,           0.0050654,              0.7917,             0.82487,             0.83755,             0.67645,            0.015392,           0.0043333,           0.0057902,             0.00109,             0.00109,             0.00109
                  92,            0.015531,           0.0052256,           0.0044931,             0.78442,             0.82133,             0.83952,             0.68428,            0.015158,           0.0042992,           0.0056546,            0.000991,            0.000991,            0.000991
                  93,            0.015318,           0.0049563,           0.0043237,             0.76926,             0.83638,               0.831,              0.6732,             0.01526,           0.0043373,           0.0055751,            0.000892,            0.000892,            0.000892
                  94,            0.015068,           0.0048593,           0.0045907,             0.78549,             0.83243,             0.84224,             0.68412,            0.015064,           0.0043238,           0.0055648,            0.000793,            0.000793,            0.000793
                  95,            0.014383,           0.0049611,           0.0039672,             0.77308,             0.83448,             0.84395,             0.69369,            0.014994,           0.0043494,           0.0053988,            0.000694,            0.000694,            0.000694
                  96,             0.01425,           0.0047163,           0.0038047,             0.78016,             0.83436,             0.84481,               0.688,             0.01521,           0.0043797,           0.0053181,            0.000595,            0.000595,            0.000595
                  97,            0.014094,           0.0046515,            0.004167,             0.78603,             0.83564,             0.83069,             0.68127,               0.015,           0.0043719,             0.00536,            0.000496,            0.000496,            0.000496
                  98,            0.014424,           0.0049812,           0.0038119,             0.79971,             0.80961,             0.83317,             0.68159,            0.014932,            0.004383,           0.0053207,            0.000397,            0.000397,            0.000397
                  99,            0.014143,           0.0048326,           0.0036241,             0.78671,             0.83223,             0.84438,             0.68649,            0.014939,           0.0044011,           0.0052744,            0.000298,            0.000298,            0.000298
